threshold_probability,calls_per_readmission_tolerated,net_benefit_model,net_benefit_call_everyone,net_benefit_call_nobody,net_true_positives_per_1000,advantage_over_best_alternative
0.10500000000000001,8.523809523809524,0.033712242895410395,0.009483899239609794,0.0,33.7122428954104,0.0242283436558006
0.11000000000000001,8.09090909090909,0.03171104394427312,0.003919202044326706,0.0,31.71104394427312,0.027791841899946414
0.11500000000000002,7.695652173913042,0.03013068382640139,-0.0017083730853663798,0.0,30.13068382640139,0.03013068382640139
0.12000000000000002,7.333333333333332,0.0279697291531611,-0.00739989793244232,0.0,27.9697291531611,0.0279697291531611
0.12500000000000003,6.999999999999998,0.025330356691303436,-0.013156468777770547,0.0,25.330356691303436,0.025330356691303436
0.13000000000000003,6.692307692307691,0.023805828335516144,-0.018979207104079604,0.0,23.805828335516143,0.023805828335516144
0.135,6.4074074074074066,0.02260307671259547,-0.02486926032433437,0.0,22.603076712595467,0.02260307671259547
0.14,6.142857142857142,0.021266961407321934,-0.030827802535522364,0.0,21.266961407321933,0.021266961407321934
0.14500000000000002,5.896551724137931,0.0196395758525936,-0.03685603529888801,0.0,19.639575852593598,0.0196395758525936
0.15000000000000002,5.666666666666666,0.0186290871985268,-0.04295518844770502,0.0,18.6290871985268,0.0186290871985268
0.15500000000000003,5.451612903225805,0.017404044784038473,-0.049126520923726935,0.0,17.404044784038472,0.017404044784038473
0.16000000000000003,5.249999999999999,0.01665330067696931,-0.05537132164351102,0.0,16.65330067696931,0.01665330067696931
0.16500000000000004,5.06060606060606,0.015649780699562778,-0.06169091039586738,0.0,15.649780699562777,0.015649780699562778
0.17000000000000004,4.882352941176469,0.014637216747432753,-0.06808663877174609,0.0,14.637216747432753,0.014637216747432753
0.17500000000000004,4.714285714285713,0.014202102959499401,-0.07455989112793851,0.0,14.2021029594994,0.014202102959499401
0.18000000000000002,4.5555555555555545,0.013432951807897681,-0.08111208558603566,0.0,13.432951807897682,0.013432951807897681
0.18500000000000003,4.405405405405404,0.013010863484599278,-0.08774467506815861,0.0,13.010863484599279,0.013010863484599278
0.19000000000000003,4.263157894736841,0.012451197636382815,-0.09445914837104846,0.0,12.451197636382815,0.012451197636382815
0.19500000000000003,4.128205128205127,0.011414021190198183,-0.10125703128018543,0.0,11.414021190198184,0.011414021190198183
0.20000000000000004,3.999999999999999,0.009722854397410604,-0.10813988772568658,0.0,9.722854397410604,0.009722854397410604
0.20500000000000004,3.878048780487804,0.009012035025209073,-0.11510932098182297,0.0,9.012035025209073,0.009012035025209073
0.21000000000000005,3.7619047619047605,0.008547648724414506,-0.1221669749120877,0.0,8.547648724414506,0.008547648724414506
0.21500000000000002,3.651162790697674,0.008263858488107532,-0.1293145352618462,0.0,8.263858488107532,0.008263858488107532
0.22000000000000003,3.545454545454545,0.007748198462809292,-0.1365537310007042,0.0,7.748198462809293,0.007748198462809292
0.22500000000000003,3.4444444444444438,0.007073836430583898,-0.14388633571683776,0.0,7.073836430583898,0.007073836430583898
0.23000000000000004,3.347826086956521,0.006366414650438317,-0.1513141690656484,0.0,6.366414650438317,0.006366414650438317
0.23500000000000004,3.2553191489361692,0.006258947551440878,-0.15883909827522782,0.0,6.258947551440878,0.006258947551440878
